"word","mean","ipa","exampleSentence","translatedSentence","type"
"agenda","会議事項,議事日程;備忘録","/əˈdʒɛndə/","Please make sure to review the agenda before the meeting.","会議前に必ず議題を確認してください。","NGSL"
"repair","〈U〉修繕, 修理","/rɪˈpɛər/","I need to repair my car.","私は車を修理する必要があります。","NGSL"
"subsequent","(時間・順序,位置などについて)後の, 次の / (結果として)続いて起こる","/səbˈsɛkwənt/","The subsequent events were unexpected.","その後の出来事は予想外でした。","NGSL"
"rear","〈C〉(ある物の)背後, 後方 / (ある物の)後部 / (軍・艦隊などの)最後尾,後衛 / 【形】後方の / 後部の","/ɹɪər/","I looked in the rearview mirror to check for any cars behind me.","私は後ろを見るためにバックミラーを見ました。","NGSL"
"numerous","非常に多い,多数の(very many)  / 多数から成る(を含む)","/ˈnuːmərəs/","There are numerous books in the library.","図書館には非常に多くの本があります。","NGSL"
"supply","〈他〉《...に》〈不足物・必要物〉を供給する《to, for ...》 / 《...を》〈人・物〉に供給する《with ...》","/səˈplaɪ/","They supplied the villagers with food.","彼らは村人たちに食料を供給した。","NGSL"
"tip","〈C〉チップ, 心付け,祝儀 / 《...に関する ...からの》内報, 秘密情報《for, on ... from ...》 / 《...についての》ヒント, 助言《on ...》 /","/tɪp/","Here's a helpful tip: always double-check your work before submitting it.","ここに役立つヒントがあります：提出する前に常に作業をダブルチェックしてください。","NGSL"
"wound","〈C〉(身体の) 傷,負傷 / 《感情・自尊心などに対する》 痛手《to ...》","/waʊnd/","She had a deep wound on her leg.","彼女は脚に深い傷を負っていた。","NGSL"
"mean","〈人が〉…を意図する, ...のつもりである / 〈単語・句・文章などが〉…を意味を持つ, を意味する","/miːn/","What do you mean?","何を意味していますか？","NGSL"
"athlete","競技者,運動家 / 強壮な人;《英》陸上競技選手","/ˈæθ.liːt/","The athlete trained hard every day to improve his performance.","その競技者は、パフォーマンスを向上させるために毎日厳しくトレーニングしていました。","NGSL"
"ourselves","《強意用法》《weと同格に用いて》私たち自身,自分たちみずから  / 《再帰用法》《動詞・前置詞の目的語として》私たち自身を(に),自分たちを(に)  / 《まれ》《おもにthan,butなどの後でweの代用として》我々,私たち","/ɑːrˈsɛlvz/","We should believe in ourselves and our abilities.","私たちは自分自身と自分の能力を信じるべきです。","NGSL"
"car","自動車(automobile)電車(streetcar)  / 《米》(鉄道の)車両;客車,貨車  / (気球などの)かご;(エレベーターの)箱","/kɑr/","I bought a new car.","私は新しい車を買った。","NGSL"
"partnership","〈U〉提携,協力  / 〈U〉組合契約;〈C〉合名会社","/pɑːtnərʃɪp/","The two companies formed a partnership to expand their market reach.","2つの会社は市場拡大のために提携を結んだ。","NGSL"
"passenger","〈C〉乗客, 旅客 / 《英話》足手まといな人","/ˈpæsən(d)ʒər/","The passenger boarded the plane.","乗客が飛行機に乗りました。","NGSL"
"percentage","百分率,割合  / 《複数形で》見込み,確率","/pərˈsɛntɪdʒ/","The percentage of students who passed the exam is 80%.","試験に合格した学生の割合は80％です。","NGSL"
"perfectly","完全に,申し分なく  / 全く,すっかり","/pərˈfɛktli/","She perfectly executed the dance routine.","彼女は完全にダンスのルーティンを実行しました。","NGSL"
"lip","〈C〉くちびる,口もと  / 《複数形で》(発音器官としての)くちびる,口  / 〈U〉《俗》生意気な言葉  / 〈C〉(容器などの)口,へり,縁;(峡谷・火山などの)口  / 〈C〉(植物の)唇弁(しんべん)","/lɪp/","She applied a coat of lipstick to her lips.","彼女はくちびるに口紅を塗った。","NGSL"
"poet","詩人,歌人  / 詩的才能のある人","/poʊɪt/","The poet wrote beautiful verses that touched the hearts of many.","その詩人は多くの人々の心に触れる美しい詩を書いた。","NGSL"
"winner","勝利者,優勝者;(競馬の)勝ち馬  / 受賞者  / うまくいくもの(こと),期待できるもの(こと)","/'wɪnər/","She was declared the winner of the competition.","彼女は競技の勝利者と宣言されました。","NGSL"
"monthly","月1回の,毎月の,月ぎめの  / 1か月間の,1か月続く","/'mʌnθli/","I have a monthly meeting with my team.","私はチームと月に１回ミーティングを行っています。","NGSL"
"nothing","何も…ない(not anything ,no thing)  / 少しも…でない  / 〈C〉《単数形で》重用でないこと(人),取るに足りない人  / 〈U〉ゼロ","/ˈnʌθɪŋ/","There's nothing I can do.","私にできることは何もない。","NGSL"
"once","(ただ)1度,1回  / かつて,以前  / 《否定文で》一度も(…しない);《条件節で》いったん…すれば  / 1度,1回","/ wʌns /","Once I got on the train, I felt relieved.","電車に乗ったら、安心しました。","NGSL"
"pick","〈他〉を選ぶ / を摘む,もぎ取る / つまみとる〈自〉つつく / 精選する","/pɪk/","He picked up the pen from the desk.","彼は机からペンを拾い上げた。","NGSL"
"service","〈U〉〈C〉奉仕 / 公共事業 / 〈U〉職員業務 / サービス / 役立つこと","/'sɜːrvɪs/","The customer service at this restaurant is excellent.","このレストランのサービスは素晴らしいです。","NGSL"
"powerful","強力な / 効果的な / 有力な","/paʊərfl/","She has a powerful voice.","彼女は力強い声を持っています。","NGSL"
"release","解放する / 公開する,発表する","/rɪˈliːs/","The company plans to release a new product next month.","会社は来月新製品を発売する予定です。","NGSL"
"repeat","〈自分がすでに一度言ったこと)‘を'繰り返して言う  / 〈他人の言ったこと〉‘を'おうむ返しに言う;…‘を'他の人に繰り返して言う  / …‘を'暗記して言う,暗唱する  / …‘を'繰り返して行う(do again)  / (食べたあとで)〈食物の〉味が残る  / 〈小数が〉循環する","/rɪˈpiːt/","I will repeat the same question again.","同じ質問をもう一度繰り返します。","NGSL"
"score","(ゲーム・競技の)スコア,得点記録  / (ゲーム・競技の)得点  / (試験の)点数,評点  / 《おもに文》20[の単位]  / 《複数形で》多数(の…)《+of+名》  / 《まれ》勘定,借金  / 《単数形で》理由,根拠,原因  / (またscore mark)刻み目,線,印  / 総譜,楽譜","/skɔr/","The final score was calculated based on the average of all the individual scores.","最終得点は、個々の得点の平均に基づいて計算されました。","NGSL"
"pregnancy","〈U〉〈C〉妊娠の状態(期間)  / 〈U〉《文》含蓄","/prɛɡnənsi/","She is experiencing a healthy pregnancy.","彼女は健康な妊娠を経験しています。","NGSL"
"season","季,季節(春夏秋冬の4季節のそれぞれ)  / (一年のうちの,ある気候の)時季,時節  / (果物などの)出盛り,(…の)盛んな時期  / (一般に)時節,時期 / 《…に》ふさわしい時,《…の》好期《for ...》","/siːzən/","I love the autumn season.","私は秋の季節が大好きです。","NGSL"
"seed","〈U〉〈C〉種,種子  / 〈C〉《複数形で》(物事・事件などの)原因,根源,種  / 〈U〉(聖書で)子供たち,子孫  / 〈土地〉‘に'種をまく,まく;(…を)…‘に'まく《+名+with+名》  / 〈果物など〉‘の'種を除く  / 〈チーム・競技者など〉‘を'シードする  / (人工雨を降らすため)〈雲〉‘に'ドライアイス(その他の化学薬品)を散布する  / 〈植物が〉種(実)を生ずる;種(実)を落とす","/siːd/","She planted the seed in the garden.","彼女は庭に種を植えました。","NGSL"
"printer","印刷する人(機械);印刷屋  / (コンピューターの)文字打ち出し機　プリンター","/ˈprɪntər/","I need to buy a new printer for my office.","オフィス用に新しいプリンターを買わなければなりません。","NGSL"
"producer","生産者;産出地  / (劇・映画などの)製作者,プロデューサー","/prəˈdjuːsər/","The producer is responsible for overseeing the manufacturing process.","生産者は製造プロセスの監督を担当しています。","NGSL"
"snap","パチン(ポキン,カチッ,ピシッ)と音をたてる / 〈木の枝などが〉ポキッと折れる,〈糸などが〉プツンと切れる / 〈戸・ふた・カギなどが〉パチン(カチッなど)と音をたてて(…の状態に)なる《+形〈補〉》 / (…に)ぱくっとかみつく《+at+名》 / …‘を'パチン(ピシッ)と音をさせる / …‘を'ポキッと折る,プツンと切る;…‘を'パチッと締める / 〈命令・応答など〉‘を'ピシッと言う《+out+名,+名+out》 / 《話》〈スナップ写真〉‘を'撮る","/snæp/","The pup snapped at my hand.","小犬は私の手にかみついた。","NGSL"
"promote","…‘を'助長する,促進する,増進する  / (…に)…‘を'昇進させる,進級させる《+名+to+名》  / 〈議案など〉‘を'通過するように努力する  / 〈会社・事業〉‘を'発起する;〈興業〉‘を'主催する  / 〈商品など〉‘の'販売促進をする","/prəˈmoʊt/","Social media can promote the spread of information.","ソーシャルメディアは情報の拡散を助長することができます。","NGSL"
"spirit","〈U〉精神,心  / 〈C〉(超自然の)霊魂,霊;幽霊,妖精  / 〈C〉《形容詞を伴って》(ある気資・性格をもった)人  / 〈U〉元気,活気  / 〈U〉《時にa ~》気立て,気質;意気,気概  / 《複数形で》気分,きげん  / 〈U〉(団体などに対する)忠誠心,献心  / 〈C〉(全体に流れる)傾向,風潮  / 〈U〉《the ~》(法などの)精神  / 《複数形で》アルコール;強い酒","/'spɪrɪt/","She has a strong spirit.","彼女は強い精神を持っています。","NGSL"
"convert","〈他〉〖~ A into [to] B〗AをBに変える,転換する〈自〉変わる,転換する","/kənˈvɜrt/","I need to convert the file to a different format.","ファイルを別の形式に変換する必要があります。","NGSL"
"warm","暖かい,思いやりのある / 興奮した / 暖色の / 生々しい","/wɔrm/","The warm sun was shining through the window.","太陽が窓を通して暖かく輝いていた。","NGSL"
"part","〈C〉(全体を構成する) 部分 / 〈U〉《しばしばa ...》《…の》一部, 一部分《of ...》 / 〈C〉(仕事などの)役目","/pɑːrt/","I need you to be a part of this project.","このプロジェクトの一部として参加してもらいたい。","NGSL"
"childhood","幼時,子供時代","/ˈtʃaɪldhʊd/","I have many fond memories from my childhood.","私には子供の頃の楽しい思い出がたくさんあります。","NGSL"
"publication","〈U〉(書籍・雑誌などの)出版,発行《+of+名》  / 〈C〉出版物(書籍,雑誌,新聞など)  / 〈U〉(…の)公表,発表《+of+名》","/pʌblɪˈkeɪʃən/","The publication of her new book was eagerly anticipated by her fans.","彼女の新しい本の出版は、彼女のファンに熱望されていました。","NGSL"
"quietly","静かに  / 穏やかに  / じみに","/'kwaɪətli/","She sat quietly in the corner, reading her book.","彼女は静かに角に座って、本を読んでいた。","NGSL"
"competitor","競争者,競争相手,競合他社","/kəmˈpɛtɪtər/","She is a tough competitor in the business world.","彼女はビジネス界で厳しい競争相手です。","NGSL"
"completely","完全に,全く,十分に","/kəmˈpliːtli/","The answer is completely wrong.","その答えは完全に間違っている。","NGSL"
"symptom","〈C〉(病気の) 症状, 兆候 / 《...の》きざし, 印《of ...》","/'sɪmptəm/","He experienced a symptom of the disease.","彼はその病気の症状を経験した。","NGSL"
"relative","比較上の,(他と)比べての / 相対的で / 関係のある /対応した","/'ɹɛlətɪv/","Supply is relative to demand.","供給は需要に比例する。","NGSL"
"tape","〈U〉(細長い紙・布などの荷造り用)テープ,ひも  / 〈C〉(決勝線用の)テープ  / =tape measure  / 〈C〉〈U〉録音用テープ  / =tape recording  / =tape measure","/teɪp/","I used tape to wrap the gift.","私は贈り物を包むためにテープを使いました。","NGSL"
"resist","《通例否定文で》…‘を'こらうる,がまんする  / …‘に'抵抗する,反抗する  / …‘の'作用に耐える,‘に'影響されない,抵抗する,耐える","/rɪˈzɪst/","She tried to resist the temptation to eat the chocolate cake.","彼女はチョコレートケーキを食べる誘惑に抵抗しようとした。","NGSL"
"reveal","〈秘密・事実など〉を明らかにする, を暴く / 〈隠されていた物〉を現す, を見せる","/rɪˈviːl/","The detective will reveal the truth at the end of the movie.","探偵は映画の最後に真実を明らかにするでしょう。","NGSL"
"risk","危険;危害(損害)を受ける可能性《+of+名(doing)》","/rɪsk/","Investing in stocks carries a certain level of risk.","株式投資には一定のリスクが伴います。","NGSL"
"yellow","黄色の / 皮膚の黄色い / 《俗》おく病な(cowardly) / (新聞が)センセーショナルな,扇情的な","/jɛloʊ/","The sunflower is a beautiful yellow flower.","ひまわりは美しい黄色の花です。","NGSL"
"sad","(人が)悲しい  / (表情などが)悲しそうな;(物事が)悲しむ  / べき,残念な  / 《名試の前にのみ用いて》ひどい,みじめな,貧習な  / (色が)くすんだ","/sæd/","The girl was sad when her best friend moved away.","彼女の親友が引っ越してしまった時、女の子は悲しんでいた。","NGSL"
"December","12月({略}Dec.)","/dɪˈsɛmbər/","I'm looking forward to December.","12月が楽しみです。","NGSL"
"despite","〜にもかかわらず","/dɪˈspaɪt/","Despite the rain, we still went for a walk.","雨にもかかわらず、私たちは散歩に行きました。","NGSL"
"physical","身体の,肉体の(bodily)  / 《名詞の前にのみ用いて》物質の(material);自然[界]の  / 《名詞の前にのみ用いて》物理学の,物理的な;自然科学の  / 身体検査(physical examination)","/fɪzɪkəl/","Regular exercise is important for maintaining good physical health.","定期的な運動は良い身体の健康を維持するために重要です。","NGSL"
"population","〈U〉〈C〉人口,住民の数  / 《the~》《集合的に》(一定地域の)全体民  / 《the~》(特定階層の)人々,連中  / 〈U〉〈C〉(一定の区域内にいる)動植物の個体数","/pɒpjʊˈleɪʃ(ə)n/","The population of the city has been steadily increasing over the years.","その都市の人口は年々着実に増加しています。","NGSL"
"potato","〈C〉〈U〉ジャガイモ  / (またpotato plant)〈C〉ジャガイモをつける植物  / 〈C〉〈U〉《おもに米》サツマイモ(sweet potato)","/pəˈteɪ.toʊ/","I made mashed potatoes for dinner.","夕食にマッシュポテトを作りました。","NGSL"
"hot","熱い, 暑い /  (味が)辛い,ひりひりする  / (気性などの)激しい / (気分・感情などの)高ぶった, 興奮した([[excited)]]) / (状態や動きが)激しい([[violent]])   / (ニュースなどが)新しい, 発表されたばかりの / 《話》(商品などが)人気のある,売れる","/hɑt/","The coffee is too hot to drink.","コーヒーは飲むには熱すぎます。","NGSL"
"sexual","性の,男女(雌雄)の  / 有性生殖の","/'sɛksjuəl/","Sexual education is important for young adults.","若者にとって性教育は重要です。","NGSL"
"imagination","〈U〉〈C〉想像,空想  / 〈U〉《話》想像の産物,空想的な考え,気の迷い  / 〈U〉創作力,創意","/ɪˌmædʒɪˈneɪʃən/","She has a vivid imagination.","彼女は豊かな想像力を持っています。","NGSL"
"immediate","即座の,即時の, すぐの, 早急な / 当面の, 当座の / (時間・空間的に)すぐ近くの  / 直接の,じかの([[direct]])","/ɪˈmi.di.ət/","I need your immediate response to this matter.","この件については早急な対応が必要です。","NGSL"
"sheep","羊  / 気の弱い人,人に引きずられやすい人","/ʃiːp/","The farmer has a lot of sheep.","農夫はたくさんの羊を持っている。","NGSL"
"shirt","(えり付きの男物)シャツ,ワイシャツ  / 《米》(下着の)シャツ,はだ着(undershirt)","/ʃɜrt/","I bought a new shirt yesterday.","昨日新しいシャツを買った。","NGSL"
"dozen","ダースの,12個の(《略》doz.,dz.)","/ˈdʌzən/","I bought a dozen eggs at the grocery store.","私はスーパーマーケットで卵を１ダース買いました。","NGSL"
"similar","(大体において) 似ている / (図形が)相似の","/sɪˈmɪlər/","The two paintings have a similar style.","2つの絵は似たスタイルを持っています。","NGSL"
"skill","〈U〉(…の)熟練,技量,腕《+in+名(doing)》  / 〈C〉特殊技術,特殊技能","/skɪl/","He showed his skill in playing the piano.","彼はピアノ演奏の腕前を披露した。","NGSL"
"no","《名詞の前に置いて》一つも(一人も,少しも, 全く)…ない / 《補語につけて》決して…でない, 決して...ならない / 《省略文で》…なし;…お断り / 《話》少ししか(あまり)…ない","/nəʊ/","There is no way I can finish this task on time.","私にはこの仕事を時間内に終わらせる方法は一つもありません。","NGSL"
"park","(町の中の)公園,庭園  / 自然公園  / 《米》(観覧席などで囲まれた)競技場;《英》サッカー場  / 《英》(貴族や大地主の邸宅の)広大な敷地,大庭園  / =parking lot  /","/pɑrk/","Let's go to the park.","公園に行こう。","NGSL"
"sky","空,上空  / 《しばしば複数形で》空模様,天候,気候  / 《しばしば複数形で》天国,天  / 〈ボール〉‘を'高く打ち上げる","/skaɪ/","The sky was beautiful and blue.","空は美しく青く見えた。","NGSL"
"educate","を教育する, を教え込む","/ˈɛdʒʊˌkeɪt/","Parents have a responsibility to educate their children.","親は子供を教育する責任があります。","NGSL"
"slightly","わずかに,少し  / (人・体格などが)ほっそりと;(建物などが)もろく","/slaɪtli/","I am slightly tired.","わずかに疲れています。","NGSL"
"slip","〈C〉(木・紙の細長い) 小片, 伝票 / (継ぎ木・さし木来の) 切り枝 / 《a ( ) of …》きゃしゃ《な…》","/slɪp/","Please make sure to keep your sales slip for future reference.","将来の参照のために、売上伝票を保管してください。","NGSL"
